Year,imdb,Title,clean_test,binary,budget,domgross,intgross,totalgross
2013,tt1411250,Riddick,notalk,FAIL,38000000,42025135,92425135,134450270
2013,tt2364841,Runner Runner,nowomen,FAIL,30000000,19316646,62616646,81933292
2013,tt1979320,Rush,notalk,FAIL,38000000,26947624,43047624,69995248
2013,tt1702439,Safe Haven,ok,PASS,28000000,71399120,93943623,165342743
2013,tt2140373,Saving Mr. Banks,ok,PASS,35000000,82834332,100734332,183568664
2013,tt2053463,Side Effects,ok,PASS,30000000,32172757,60288363,92461120
2013,tt1408101,Star Trek Into Darkness,notalk,FAIL,190000000,228778661,466978661,695757322
2013,tt1572315,Texas Chainsaw 3D,ok,PASS,20000000,34341945,39093317,73435262
2013,tt1931435,The Big Wedding,ok,PASS,32500000,21819348,35770721,57590069
2013,tt0816442,The Book Thief,ok,PASS,19000000,21345525,62045525,83391050
2013,tt1911644,The Call,ok,PASS,13000000,51872378,58938768,110811146
2013,tt1457767,The Conjuring,ok,PASS,20000000,137400141,318000141,455400282
2013,tt2193215,The Counselor,ok,PASS,25000000,16973715,70373715,87347430
2013,tt0481499,The Croods,men,FAIL,135000000,187168425,573068425,760236850
2013,tt2404311,The Family,men,FAIL,30000000,36918811,51078541,87997352
2013,tt1837703,The Fifth Estate,notalk,FAIL,26000000,3254172,6154172,9408344
2013,tt1343092,The Great Gatsby,dubious,FAIL,190000000,144840419,351040419,495880838
2013,tt1951261,The Hangover part 3,men,FAIL,103000000,112200072,362000072,474200144
2013,tt2404463,The Heat,ok,PASS,43000000,159581587,230781587,390363174
2013,tt1170358,The Hobbit: The Desolation of Smaug,notalk,FAIL,250000000,257397516,937397516,1194795032
2013,tt1517260,The Host,dubious,FAIL,50000000,26623701,58188384,84812085
2013,tt1951264,The Hunger Games: Catching Fire,ok,PASS,130000000,424088260,857088260,1281176520
2013,tt0790628,The Incredible Burt Wonderstone,notalk,FAIL,32000000,22537881,24255957,46793838
2013,tt2234155,The Internship,notalk,FAIL,58000000,44672764,93672764,138345528
2013,tt2034139,The Last Exorcism Part II,ok,PASS,4000000,15179303,18541236,33720539
2013,tt1210819,The Lone Ranger,notalk,FAIL,275000000,89289910,259989910,349279820
2013,tt1538403,The Mortal Instruments: City of Bones,ok,PASS,60000000,31165421,75965567,107130988
2013,tt2184339,The Purge,dubious,FAIL,3000000,64473115,91100541,155573656
2013,tt2017020,The Smurfs 2,ok,PASS,110000000,71017784,348545841,419563625
2013,tt1758795,The To Do List,ok,PASS,1500000,3491669,3491669,6983338
2013,tt1727388,The Way Way Back,ok,PASS,5000000,21502690,26161443,47664133
2013,tt0993846,The Wolf of Wall Street,notalk,FAIL,100000000,115702857,365702857,481405714
2013,tt1430132,The Wolverine,ok,PASS,115000000,132556852,416456852,549013704
2013,tt1213663,The World&#39;s End,men,FAIL,20000000,26004851,46578821,72583672
2013,tt1245492,This Is the End,notalk,FAIL,32000000,101470202,126294264,227764466
2013,tt1981115,Thor: The Dark World,dubious,FAIL,170000000,204674790,631674790,836349580
2013,tt1924429,Trance,nowomen,FAIL,16000000,2322593,22594052,24916645
2013,tt1860353,Turbo,dubious,FAIL,135000000,83028130,283828130,366856260
2013,tt1588173,Warm Bodies,men,FAIL,30000000,66380662,116643610,183024272
2013,tt1723121,We're the Millers,ok,PASS,37000000,150394119,270000119,420394238
2013,tt2334879,White House Down,men,FAIL,150000000,73103784,205440387,278544171
2013,tt0816711,World War Z,dubious,FAIL,190000000,202359711,539559711,741919422
2012,tt1611224,Abraham Lincoln: Vampire Hunter,dubious,FAIL,67500000,37519139,115119139,152638278
2012,tt1591479,Act of Valor,nowomen,FAIL,12000000,70012847,82497035,152509882
2012,tt1602620,Amour,dubious,FAIL,9700000,6738954,25915719,32654673
2012,tt1781769,Anna Karenina,men,FAIL,49000000,12816367,70735540,83551907
2012,tt1024648,Argo,ok,PASS,44500000,136025503,221300694,357326197
2012,tt1440129,Battleship,notalk,FAIL,209000000,65235400,304142720,369378120
2012,tt2125435,Beasts of the Southern Wild,dubious,FAIL,1800000,12795746,21080058,33875804
2012,tt1758575,Blue Like Jazz,ok,PASS,1200000,595018,595018,1190036
2012,tt1217209,Brave,ok,PASS,185000000,237282182,554606532,791888714
2012,tt1308729,Bullet to the Head,nowomen,FAIL,55000000,9489829,13561515,23051344
2012,tt1991245,Chernobyl Diaries,notalk,FAIL,1000000,18119640,38390020,56509660
2012,tt1706593,Chronicle,notalk,FAIL,12000000,64575175,127075175,191650350
2012,tt1371111,Cloud Atlas,ok,PASS,102000000,27108272,126018564,153126836
2012,tt1524137,Contraband,ok,PASS,25000000,66528000,98406855,164934855
2012,tt1853728,Django Unchained,notalk,FAIL,100000000,162805434,425373688,588179122
2012,tt1907668,Flight,dubious,FAIL,31000000,93772375,161772375,255544750
2012,tt1142977,Frankenweenie,nowomen,FAIL,39000000,35287788,81150788,116438576
2012,tt2243973,Hannibal,ok,PASS,87000000,165092266,350100280,515192546
2012,tt0837562,Hotel Transylvania,ok,PASS,85000000,148313048,359222014,507535062
2012,tt0790724,Jack Reacher,notalk,FAIL,60000000,80070736,217370736,297441472
2012,tt2106476,Jagten,men,FAIL,3450000,687185,687185,1374370
2012,tt0401729,John Carter,ok,PASS,275000000,73058679,282778100,355836779
2012,tt1764234,Killing Them Softly,nowomen,FAIL,15000000,14945541,37238774,52184315
2012,tt1707386,Les Miserables,ok,PASS,65000000,148809770,442022894,590832664
2012,tt0454876,Life of Pi,notalk,FAIL,120000000,124987022,607987022,732974044
2012,tt0443272,Lincoln,ok,PASS,65000000,182207973,273000960,455208933
2012,tt1277953,Madagascar 3: Europe&#39;s Most Wanted,men,FAIL,145000000,216391482,746921271,963312753
2012,tt1409024,Men in Black III,notalk,FAIL,215000000,179020854,624821154,803842008
2012,tt1667353,Mirror Mirror,dubious,FAIL,85000000,64935167,168611991,233547158
2012,tt1748122,Moonrise Kingdom,ok,PASS,16000000,45512466,64012466,109524932
2012,tt2094064,Much Ado About Nothing,dubious,FAIL,8000000,22549338,22549338,45098676
2012,tt1598828,One for the Money,ok,PASS,42000000,26414527,36197221,62611748
2012,tt2109184,Paranormal Activity 4,ok,PASS,5000000,53900335,142793842,196694177
2012,tt1623288,ParaNorman,notalk,FAIL,60000000,56003051,108159011,164162062
2012,tt1047540,Parental Guidance,ok,PASS,25000000,77267296,120168633,197435929
2012,tt1716777,People Like Us,ok,PASS,16000000,12431792,12431792,24863584
2012,tt1981677,Pitch Perfect,ok,PASS,17000000,65001093,115331177,180332270
2012,tt1547234,Premium Rush,ok,PASS,35000000,20275446,31393201,51668647
2012,tt1234719,Red Dawn,notalk,FAIL,65000000,44806783,48164150,92970933
2012,tt0485985,Red Tails,men,FAIL,58000000,49876377,50365498,100241875
2012,tt1446192,Rise of the Guardians,notalk,FAIL,145000000,103412758,306900902,410313660
2012,tt1336608,Rock of Ages,ok,PASS,70000000,38518613,50118613,88637226
2012,tt1656190,Safe,notalk,FAIL,33000000,17142080,41495213,58637293
2012,tt1862079,Safety Not Guaranteed,ok,PASS,750000,4010957,4413188,8424145
2012,tt1931533,Seven Psychopaths,notalk,FAIL,13500000,15024049,23492318,38516367
2012,tt0938330,Silent Hill: Revelation 3D,ok,PASS,20000000,17530219,47944599,65474818
2012,tt1045658,Silver Linings Playbook,ok,PASS,21000000,132092958,227317397,359410355
2012,tt1922777,Sinister,men,FAIL,3000000,48086903,87727807,135814710
2012,tt1074638,Skyfall,dubious,FAIL,200000000,304360277,1108694081,1413054358
2012,tt1735898,Snow White and the Huntsman,ok,PASS,170000000,155136755,400911200,556047955
2012,tt1876451,Sparkle,ok,PASS,10000000,24397469,24660323,49057792
2012,tt2101441,Spring Breakers,ok,PASS,5000000,14124286,30669531,44793817
2012,tt1800741,Step Up Revolution,ok,PASS,33000000,35074677,165552290,200626967
2012,tt1874789,Supporting Characters,men,FAIL,60000,4917,4917,9834
2012,tt1637725,Ted,men,FAIL,50000000,218665740,549444574,768110314
2012,tt1232200,That's My Boy,notalk,FAIL,67500000,36931089,58058367,94989456
2012,tt0948470,The Amazing Spider-Man,men,FAIL,220000000,262030663,757890267,1019920930
2012,tt0848228,The Avengers,notalk,FAIL,60000000,23385416,48585416,71970832
2012,tt1345836,The Dark Knight Rises,notalk,FAIL,275000000,448139099,1079343943,1527483042
2012,tt1560985,The Devil Inside,ok,PASS,1000000,53261944,101758489,155020433
2012,tt1645170,The Dictator,notalk,FAIL,65000000,59650222,179379532,239029754
2012,tt1764651,The Expendables 2,ok,PASS,100000000,85028192,311979256,397007448
2012,tt1601913,The Grey,nowomen,FAIL,25000000,51580136,84339696,135919832
2012,tt0903624,The Hobbit: An Unexpected Journey,nowomen,FAIL,250000000,303003568,1014703568,1317707136
2012,tt1392170,The Hunger Games,ok,PASS,80000000,408010692,684510692,1092521384
2012,tt1649419,The Impossible,men,FAIL,40000000,19019882,169590606,188610488
2012,tt1258972,The Man with the Iron Fists,notalk,FAIL,15000000,15634090,21985095,37619185
2012,tt1560747,The Master,notalk,FAIL,37500000,16247159,25116740,41363899
2012,tt1430626,The Pirates! Band of Misfits,notalk,FAIL,55000000,31051126,123056220,154107346
2012,tt1817273,The Place Beyond the Pines,notalk,FAIL,15000000,21403519,47011449,68414968
2012,tt1673434,The Twilight Saga: Breaking Dawn - Part 2,dubious,FAIL,136200000,292324737,832660037,1124984774
2012,tt1606389,The Vow,ok,PASS,8738320,125014030,197618160,322632190
2012,tt1298649,The Watch,men,FAIL,55000000,34353000,67353000,101706000
2012,tt1596365,The Woman in Black,notalk,FAIL,15000000,54333290,128955898,183289188
2012,tt1840417,The Words,notalk,FAIL,6000000,11494838,12132578,23627416
2012,tt1621045,Think Like a Man,ok,PASS,12000000,91547205,96155124,187702329
2012,tt1859650,To Rome With Love,men,FAIL,21500000,16684352,74363777,91048129
2012,tt1386703,Total Recall,notalk,FAIL,125000000,58877969,198615996,257493965
2012,tt1496025,Underworld: Awakening,ok,PASS,70000000,62321039,160379930,222700969
2012,tt1655460,Wanderlust,ok,PASS,32500000,17288155,24159934,41448089
2012,tt1586265,What to Expect When You&#39;re Expecting,ok,PASS,37500000,41152203,80652203,121804406
2012,tt1870529,Won&#39;t Back Down,ok,PASS,19000000,5310554,5431486,10742040
2012,tt1646987,Wrath of the Titans,notalk,FAIL,150000000,83670083,301970083,385640166
2012,tt1772341,Wreck-It Ralph,ok,PASS,165000000,189412677,473412677,662825354
2012,tt1790885,Zero Dark Thirty,ok,PASS,52500000,95720716,137720716,233441432
2011,tt1622547,30 Minutes or Less,notalk,FAIL,28000000,37053924,40966716,78020640
2011,tt1306980,50/50,men,FAIL,8000000,35016118,41334735,76350853
2011,tt1571222,A Dangerous Method,dubious,FAIL,20000000,5702083,14807531,20509614
2011,tt1422136,A Lonely Place to Die,ok,PASS,4000000,N/A,442550,#VALUE!
2011,tt1268799,A Very Harold &amp; Kumar 3D Christmas,notalk,FAIL,20000000,35061031,36265745,71326776
2011,tt1549572,Another Earth,ok,PASS,175000,1321194,1781194,3102388
2011,tt1772240,Apollo 18,nowomen,FAIL,5000000,17686929,26517819,44204748
2011,tt1430607,Arthur Christmas,notalk,FAIL,85000000,46462469,147624649,194087118
2011,tt1478964,Attack the Block,ok,PASS,13000000,1024175,5406422,6430597
2011,tt1284575,Bad Teacher,ok,PASS,19000000,100292856,216412265,316705121
2011,tt1217613,Battle: Los Angeles,notalk,FAIL,70000000,83552429,212005201,295557630
2011,tt1152398,Beastly,notalk,FAIL,17000000,27865571,38028230,65893801
2011,tt1629705,Blackthorn,notalk,FAIL,4500000,200558,1249765,1450323
2011,tt1478338,Bridesmaids,ok,PASS,32500000,169106725,289263136,458369861
2011,tt0458339,Captain America: The First Avenger,notalk,FAIL,140000000,176654505,370569776,547224281
2011,tt1216475,Cars 2,men,FAIL,200000000,191450875,560155383,751606258
2011,tt1684628,Circumstance,ok,PASS,900000,454121,454121,908242
2011,tt1657507,Colombiana,notalk,FAIL,40000000,36665854,71698079,108363933
2011,tt0816462,Conan the Barbarian,dubious,FAIL,20000000,38264085,79114085,117378170
2011,tt1598778,Contagion,ok,PASS,60000000,75658097,137551594,213209691
2011,tt1372686,Coriolanus,men,FAIL,10000000,749641,1049641,1799282
2011,tt0409847,Cowboys &amp; Aliens,notalk,FAIL,163000000,100240551,175910315,276150866
2011,tt1701990,Detention,ok,PASS,10000000,N/A,N/A,#VALUE!
2011,tt1650043,Diary of a Wimpy Kid: Rodrick Rules,notalk,FAIL,18000000,52698535,73695194,126393729
2011,tt1564349,Dolphin Tale,men,FAIL,37000000,72286779,96068724,168355503
2011,tt1462041,Dream House,ok,PASS,50000000,21302340,39932340,61234680
2011,tt0780504,Drive,dubious,FAIL,15000000,35060689,78054825,113115514
2011,tt1596343,Fast Five,ok,PASS,125000000,209837675,629841284,839678959
2011,tt1622979,Final Destination 5,men,FAIL,40000000,42587643,157887643,200475286
2011,tt1068242,Footloose,ok,PASS,24000000,51802742,63412773,115215515
2011,tt1438176,Fright Night,dubious,FAIL,30000000,18298649,40520649,58819298
2011,tt1133985,Green Lantern,notalk,FAIL,200000000,116601172,231201172,347802344
2011,tt0480687,Hall Pass,men,FAIL,36000000,45060734,83693266,128754000
2011,tt0993842,Hanna,ok,PASS,30000000,40259119,65343694,105602813
2011,tt1201607,Harry Potter and the Deathly Hallows: Part 2,notalk,FAIL,125000000,381011219,1328111219,1709122438
2011,tt1506999,Haywire,nowomen,FAIL,23000000,18942396,22176190,41118586
2011,tt1403177,Hesher,notalk,FAIL,7000000,382946,382946,765892
2011,tt1562568,Higher Ground,ok,PASS,1800000,841056,859182,1700238
2011,tt1640459,Hobo with a Shotgun,nowomen,FAIL,3000000,703372,834953,1538325
2011,tt1411704,Hop,men,FAIL,63000000,108085305,184924333,293009638
2011,tt1499658,Horrible Bosses,ok,PASS,35000000,117538559,214538559,332077118
2011,tt0970179,Hugo,dubious,FAIL,180000000,73864507,185033215,258897722
2011,tt1464540,I Am Number Four,notalk,FAIL,50000000,55100437,145982797,201083234
2011,tt1253864,Immortals,men,FAIL,75000000,83504017,211562435,295066452
2011,tt1637688,In Time,notalk,FAIL,35000000,37553932,170064664,207618596
2011,tt1606618,Iris,ok,PASS,5500000,5580479,15155021,20735500
2011,tt1410063,Jin ling shi san chai,ok,PASS,100000000,311434,93721434,94032868
2011,tt1634122,Johnny English Reborn,dubious,FAIL,45000000,8305970,164539660,172845630
2011,tt1640484,Jumping the Broom,ok,PASS,7000000,37295394,38158601,75453995
2011,tt1564367,Just Go with It,dubious,FAIL,80000000,103028109,214974953,318003062
2011,tt1788391,Kill List,dubious,FAIL,800000,29063,462206,491269
2011,tt1448755,Killer Elite,nowomen,FAIL,70000000,25124986,57777106,82902092
2011,tt1302011,Kung Fu Panda 2,ok,PASS,150000000,165249063,664837547,830086610
2011,tt1508675,Le Havre,dubious,FAIL,5500000,611709,13480196,14091905
2011,tt1758692,Like Crazy,ok,PASS,250000,3395391,3731489,7126880
2011,tt1219289,Limitless,notalk,FAIL,27000000,79249455,169739455,248988910
2011,tt0466893,Margaret,ok,PASS,14000000,47185,47185,94370
2011,tt1615147,Margin Call,notalk,FAIL,3400000,5353586,17872206,23225792
2011,tt1305591,Mars Needs Moms,dubious,FAIL,150000000,21392758,39549758,60942516
2011,tt1441326,Martha Marcy May Marlene,ok,PASS,1000000,2981038,3531038,6512076
2011,tt1527186,Melancholia,ok,PASS,9400000,3030848,18044073,21074921
2011,tt1605783,Midnight in Paris,ok,PASS,30000000,56816662,154816662,211633324
2011,tt1229238,Mission: Impossible - Ghost Protocol,notalk,FAIL,145000000,209397903,694713230,904111133
2011,tt1210166,Moneyball,notalk,FAIL,50000000,75605492,111174374,186779866
2011,tt1396218,Mr. Popper&#39;s Penguins,notalk,FAIL,55000000,68224452,189624452,257848904
2011,tt1598822,New Year&#39;s Eve,ok,PASS,26000000,54544638,143663899,198208537
2011,tt1411238,No Strings Attached,ok,PASS,25000000,70662220,149228078,219890298
2011,tt1720182,October Baby,ok,PASS,1000000,5355847,5355847,10711694
2011,tt1637706,Our Idiot Brother,ok,PASS,5000000,24814830,25861249,50676079
2011,tt1778304,Paranormal Activity 3,ok,PASS,5000000,104028807,207039844,311068651
2011,tt1092026,Paul,ok,PASS,40000000,37412945,100179814,137592759
2011,tt1298650,Pirates of the Caribbean: On Stranger Tides,notalk,FAIL,250000000,241063875,1043663875,1284727750
2011,tt0822847,Priest,notalk,FAIL,60000000,29136626,84154026,113290652
2011,tt0448694,Puss in Boots,notalk,FAIL,130000000,149260504,554987477,704247981
2011,tt1192628,Rango,notalk,FAIL,135000000,123257581,245504574,368762155
2011,tt0433035,Real Steel,notalk,FAIL,110000000,85463309,293237309,378700618
2011,tt1486185,Red Riding Hood,ok,PASS,42000000,37662162,90300442,127962604
2011,tt0873886,Red State,ok,PASS,4000000,1065429,1065429,2130858
2011,tt1498569,Restless,ok,PASS,8000000,163753,2818394,2982147
2011,tt1436562,Rio,notalk,FAIL,90000000,143619809,487519809,631139618
2011,tt1318514,Rise of the Planet of the Apes,notalk,FAIL,93000000,176760185,482860185,659620370
2011,tt1723811,Shame,notalk,FAIL,6500000,4002293,10781688,14783981
2011,tt1541995,Snow Flower and the Secret Fan,ok,PASS,6000000,1348205,11348205,12696410
2011,tt1596346,Soul Surfer,ok,PASS,18000000,43853424,47158652,91012076
2011,tt0945513,Source Code,notalk,FAIL,32000000,54712227,140428499,195140726
2011,tt0999913,Straw Dogs,ok,PASS,25000000,10324441,11253821,21578262
2011,tt0978764,Sucker Punch,ok,PASS,75000000,36392502,89758389,126150891
2011,tt1650062,Super 8,ok,PASS,50000000,127004179,260095987,387100166
2011,tt1675192,Take Shelter,ok,PASS,4750000,1728953,3128953,4857906
2011,tt1385826,The Adjustment Bureau,dubious,FAIL,50200000,62495645,127793502,190289147
2011,tt0983193,The Adventures of Tintin,notalk,FAIL,130000000,77591831,373993951,451585782
2011,tt1655442,The Artist,notalk,FAIL,16000000,44667095,128256712,172923807
2011,tt1412386,The Best Exotic Marigold Hotel,ok,PASS,10000000,46383639,134729347,181112986
2011,tt1259521,The Cabin in the Woods,dubious,FAIL,30000000,42073277,70768144,112841421
2011,tt1093357,The Darkest Hour,ok,PASS,34800000,21443494,62831715,84275209
2011,tt1535616,The Divide,ok,PASS,3000000,18000,18000,36000
2011,tt1235170,The Future,ok,PASS,1000000,568662,568662,1137324
2011,tt1568346,The Girl with the Dragon Tattoo,notalk,FAIL,90000000,102515793,233170238,335686031
2011,tt0990407,The Green Hornet,notalk,FAIL,110000000,98780042,227983150,326763192
2011,tt1540133,The Guard,notalk,FAIL,6000000,5359774,15944629,21304403
2011,tt1454029,The Help,ok,PASS,25000000,169705587,213120004,382825591
2011,tt1007029,The Iron Lady,ok,PASS,14000000,29959436,115592104,145551540
2011,tt1189340,The Lincoln Lawyer,notalk,FAIL,40000000,58009200,87145086,145154286
2011,tt0472399,The Mechanic,nowomen,FAIL,42500000,29121498,76347393,105468891
2011,tt1204342,The Muppets,notalk,FAIL,45000000,88625922,160971922,249597844
2011,tt1161864,The Rite,dubious,FAIL,37000000,33047633,96047633,129095266
2011,tt1265990,The Roommate,ok,PASS,16000000,37300107,40497461,77797568
2011,tt0472181,The Smurfs,ok,PASS,110000000,142614158,563066551,705680709
2011,tt1509767,The Three Musketeers,men,FAIL,90000000,20377913,139877913,160255826
2011,tt0478304,The Tree of Life,nowomen,FAIL,35000000,13305665,62305665,75611330
2011,tt1324999,The Twilight Saga: Breaking Dawn - Part 1,ok,PASS,127500000,281287133,709938657,991225790
2011,tt0800369,Thor,ok,PASS,150000000,181030624,449326618,630357242
2011,tt1340800,Tinker Tailor Soldier Spy,notalk,FAIL,21000000,24149393,81452811,105602204
2011,tt0471042,Tower Heist,notalk,FAIL,85000000,78046570,153470352,231516922
2011,tt1399103,Transformers: Dark of the Moon,ok,PASS,195000000,352390543,1123794076,1476184619
2011,tt1568911,War Horse,notalk,FAIL,70000000,79883359,156815529,236698888
2011,tt1291584,Warrior,notalk,FAIL,25000000,13657115,24215385,37872500
2011,tt1389137,We Bought a Zoo,men,FAIL,50000000,75624550,118924550,194549100
2011,tt1714210,Weekend,notalk,FAIL,190000,484592,1577585,2062177
2011,tt0770703,What&#39;s Your Number,ok,PASS,20000000,14011084,30711084,44722168
2011,tt1449283,Winnie the Pooh,nowomen,FAIL,30000000,26692846,50145607,76838453
2011,tt1270798,X-Men: First Class,ok,PASS,160000000,146408305,355408305,501816610
2011,tt1625346,Young Adult,ok,PASS,12000000,16311571,22750356,39061927
2011,tt1742336,Your Sister&#39;s Sister,ok,PASS,120000,1597486,3090593,4688079
2010,tt1542344,127 Hours,dubious,FAIL,18000000,18335230,60735230,79070460
2010,tt1014759,Alice in Wonderland,ok,PASS,200000000,334191110,1024391110,1358582220
2010,tt1313092,Animal Kingdom,notalk,FAIL,4200000,1044039,8078683,9122722
2010,tt1431181,Another Year,ok,PASS,8000000,3205706,18505706,21711412
2010,tt1423894,Barney&#39;s Version,ok,PASS,30000000,7502560,8845575,16348135
2010,tt1532503,Beginners,notalk,FAIL,3200000,5790894,11564267,17355161
2010,tt1164999,Biutiful,notalk,FAIL,35000000,5101237,25101237,30202474
2010,tt0947798,Black Swan,ok,PASS,13000000,106954678,331266710,438221388
2010,tt1120985,Blue Valentine,men,FAIL,1000000,9737892,16566240,26304132
2010,tt1126591,Burlesque,ok,PASS,55000000,39440655,89657398,129098053
2010,tt1194417,Casino Jack,notalk,FAIL,12500000,2039869,2080869,4120738
2010,tt1020558,Centurion,notalk,FAIL,15000000,123570,6623570,6747140
2010,tt1438254,Charlie St. Cloud,notalk,FAIL,44000000,31206263,48478084,79684347
2010,tt0800320,Clash of the Titans,dubious,FAIL,125000000,163214888,493214888,656429776
2010,tt1244754,Conviction,ok,PASS,12500000,6797696,10133552,16931248
2010,tt1385867,Cop Out,notalk,FAIL,37000000,44875481,55909910,100785391
2010,tt1555064,Country Strong,ok,PASS,15000000,20218921,20551476,40770397
2010,tt1336617,Cyrus,notalk,FAIL,7000000,7468936,10039886,17508822
2010,tt1279935,Date Night,ok,PASS,55000000,98711404,152269033,250980437
2010,tt0989757,Dear John,nowomen,FAIL,25000000,80014842,111362410,191377252
2010,tt1323594,Despicable Me,ok,PASS,69000000,251513985,543495033,795009018
2010,tt1314655,Devil,ok,PASS,10000000,33679655,63354114,97033769
2010,tt1196141,Diary of a Wimpy Kid,ok,PASS,15000000,64003625,76954311,140957936
2010,tt0427152,Dinner for Schmucks,notalk,FAIL,69000000,73026337,86796502,159822839
2010,tt1270761,Don&#39;t Be Afraid of the Dark,ok,PASS,25000000,24046682,31551048,55597730
2010,tt1231583,Due Date,notalk,FAIL,65000000,100539043,211739043,312278086
2010,tt1013860,Dylan Dog: Dead of Night,nowomen,FAIL,20000000,1186538,6090697,7277235
2010,tt1282140,Easy A,ok,PASS,8000000,58401464,76200721,134602185
2010,tt0879870,"Eat, Pray, Love",ok,PASS,60000000,80574010,205846861,286420871
2010,tt1226273,Edge of Darkness,notalk,FAIL,60000000,43313890,81208697,124522587
